uco,datetime,time,level,event
57241,2016-12-12 14:25:11,00:01:12,4,Hint 2 taken
57241,2016-12-12 14:25:15,00:01:16,4,Hint 3 taken
57241,2016-12-12 14:25:19,00:01:20,4,Help level accessed
57218,2016-12-12 14:26:04,00:00:00,1,Game started
57218,2016-12-12 14:26:13,00:00:09,1,Correct flag submited
57034,2016-12-12 14:26:15,00:19:40,1,Hint 1 taken
57034,2016-12-12 14:26:18,00:19:43,1,Hint 2 taken
57241,2016-12-12 14:26:18,00:02:19,4,Level cowardly skipped
57241,2016-12-12 14:26:18,00:02:19,4,Game finished
57034,2016-12-12 14:26:19,00:19:44,1,Help level accessed
56919,2016-12-12 14:26:27,00:12:20,1,Correct flag submited
57057,2016-12-12 14:26:47,00:20:53,1,Help level accessed
57218,2016-12-12 14:26:54,00:00:41,2,Wrong flag submited:girlfriend
57011,2016-12-12 14:27:02,00:19:37,1,Help level accessed
56965,2016-12-12 14:27:38,00:14:19,1,Correct flag submited
56988,2016-12-12 14:27:43,00:08:27,2,Wrong flag submited:Wpshop
57011,2016-12-12 14:27:43,00:20:18,1,Level cowardly skipped
56988,2016-12-12 14:28:00,00:08:44,2,Wrong flag submited:wpshop
56988,2016-12-12 14:28:30,00:09:14,2,Wrong flag submited:wpshop - v1.3.9.5
56988,2016-12-12 14:29:01,00:09:45,2,Wrong flag submited:wpshop - v1.3.9.5
56942,2016-12-12 14:29:07,00:14:06,1,Correct flag submited
56965,2016-12-12 14:29:34,00:01:56,2,Wrong flag submited:
56988,2016-12-12 14:29:45,00:10:29,2,Wrong flag submited:wpshop - v1.3.9.5
57172,2016-12-12 14:29:53,00:17:42,1,Correct flag submited
56965,2016-12-12 14:30:07,00:02:28,2,Wrong flag submited:
56988,2016-12-12 14:30:19,00:11:04,2,Correct flag submited
57057,2016-12-12 14:30:44,00:24:50,1,Returned from help level
57195,2016-12-12 14:32:21,00:09:12,2,Hint 2 taken
57011,2016-12-12 14:32:49,00:05:05,2,Hint 1 taken
57011,2016-12-12 14:32:53,00:05:09,2,Hint 2 taken
57011,2016-12-12 14:32:56,00:05:13,2,Help level accessed
57057,2016-12-12 14:33:01,00:27:06,1,Correct flag submited
57241,2016-12-12 14:34:18,00:00:00,1,Game started
56965,2016-12-12 14:34:24,00:06:45,2,Hint 2 taken
56965,2016-12-12 14:34:38,00:06:59,2,Hint 1 taken
56919,2016-12-12 14:36:37,00:10:10,2,Correct flag submited
56942,2016-12-12 14:36:49,00:07:41,2,Hint 1 taken
57126,2016-12-12 14:36:53,00:14:30,1,Correct flag submited
57057,2016-12-12 14:36:54,00:03:53,2,Hint 1 taken
57057,2016-12-12 14:37:17,00:04:16,2,Hint 2 taken
57057,2016-12-12 14:37:21,00:04:20,2,Hint 3 taken
57057,2016-12-12 14:37:39,00:04:37,2,Help level accessed
57057,2016-12-12 14:37:46,00:04:45,2,Returned from help level
56965,2016-12-12 14:37:47,00:10:08,2,Wrong flag submited:Wpschop - e
56965,2016-12-12 14:38:03,00:10:25,2,Wrong flag submited:Wpscho -
56965,2016-12-12 14:38:19,00:10:41,2,Wrong flag submited:Wpshop
56988,2016-12-12 14:38:27,00:08:07,3,Wrong flag submited:Linux
56965,2016-12-12 14:38:30,00:10:51,2,Wrong flag submited:Wpshop -
56942,2016-12-12 14:38:40,00:09:32,2,Hint 2 taken
57057,2016-12-12 14:38:47,00:05:45,2,Help level accessed
56965,2016-12-12 14:38:57,00:11:18,2,Correct flag submited
57034,2016-12-12 14:39:09,00:32:34,1,Returned from help level
56896,2016-12-12 14:39:10,00:00:00,1,Game started
56988,2016-12-12 14:39:17,00:08:57,3,Wrong flag submited:Linux server
57195,2016-12-12 14:39:20,00:16:11,2,Hint 3 taken
56988,2016-12-12 14:39:33,00:09:13,3,Correct flag submited
57172,2016-12-12 14:39:38,00:09:45,2,Hint 1 taken
57172,2016-12-12 14:39:48,00:09:55,2,Hint 2 taken
57034,2016-12-12 14:40:15,00:33:40,1,Correct flag submited
56942,2016-12-12 14:41:41,00:12:34,2,Correct flag submited
57034,2016-12-12 14:42:03,00:01:48,2,Hint 1 taken
57034,2016-12-12 14:42:12,00:01:57,2,Hint 2 taken
57034,2016-12-12 14:42:13,00:01:58,2,Hint 3 taken
57034,2016-12-12 14:42:14,00:01:59,2,Help level accessed
56873,2016-12-12 14:42:27,00:34:57,1,Game exited prematurely
56965,2016-12-12 14:42:31,00:03:34,3,Hint 2 taken
57103,2016-12-12 14:42:39,00:35:57,1,Game exited prematurely
57241,2016-12-12 14:42:49,00:08:30,1,Correct flag submited
57241,2016-12-12 14:44:46,00:01:57,2,Wrong flag submited:wpshop
57241,2016-12-12 14:45:03,00:02:14,2,Wrong flag submited:Wpshop
56873,2016-12-12 14:45:13,00:00:00,1,Game started
57149,2016-12-12 14:46:02,00:22:27,2,Game exited prematurely
56896,2016-12-12 14:46:07,00:06:56,1,Hint 1 taken
56942,2016-12-12 14:46:18,00:04:37,3,Hint 2 taken
57195,2016-12-12 14:47:22,00:24:13,2,Hint 1 taken
57195,2016-12-12 14:47:24,00:24:15,2,Help level accessed
57195,2016-12-12 14:48:12,00:25:03,2,Level cowardly skipped
57011,2016-12-12 14:48:26,00:20:42,2,Returned from help level
57195,2016-12-12 14:49:14,00:01:01,3,Hint 1 taken
57195,2016-12-12 14:49:15,00:01:02,3,Hint 2 taken
57195,2016-12-12 14:49:16,00:01:03,3,Hint 3 taken
57195,2016-12-12 14:49:17,00:01:04,3,Help level accessed
57011,2016-12-12 14:49:22,00:21:39,2,Correct flag submited
