uco,datetime,time,level,event
9003585,2017-07-10 15:51:07,00:28:17,2,Wrong flag submited:6027
9003584,2017-07-10 15:51:29,00:28:47,1,Help level accessed
9003570,2017-07-10 15:52:04,00:18:58,2,Correct flag submited
9003591,2017-07-10 15:52:57,00:09:04,2,Wrong flag submited:8215
9003591,2017-07-10 15:53:12,00:09:20,2,Correct flag submited
9003584,2017-07-10 15:53:35,00:30:53,1,Returned from help level
9003584,2017-07-10 15:53:48,00:31:06,1,Help level accessed
9003584,2017-07-10 15:53:51,00:31:09,1,Level cowardly skipped
9003570,2017-07-10 15:54:03,00:01:59,3,Hint 4 taken
9003570,2017-07-10 15:54:06,00:02:01,3,Hint 3 taken
9003593,2017-07-10 15:54:17,00:14:07,3,Hint 2 taken
9003577,2017-07-10 15:54:25,00:12:25,3,Level cowardly skipped
9003581,2017-07-10 15:55:26,00:27:56,1,Wrong flag submited:58905
9003577,2017-07-10 15:56:13,00:01:48,1,Level cowardly skipped
9003577,2017-07-10 15:56:22,00:00:08,2,Level cowardly skipped
9003577,2017-07-10 15:56:25,00:00:03,3,Level cowardly skipped
9003577,2017-07-10 15:57:04,00:00:39,4,Hint 1 taken
9003585,2017-07-10 15:57:07,00:34:16,2,Hint 1 taken
9003577,2017-07-10 15:57:07,00:00:41,4,Hint 2 taken
9003577,2017-07-10 15:57:08,00:00:43,4,Hint 3 taken
